service_id,date,exception_type
6960929-1111100-29,20190909,1
6960929-1111100-29,20190903,1
6960929-1111100-29,20190905,1
6960929-1111100-29,20190904,1
6960929-1111100-29,20190906,1
6960929-1111100-29,20191029,1
6960929-1111100-29,20191028,1
6960929-1111100-29,20191021,1
6960929-1111100-29,20191023,1
6960929-1111100-29,20191022,1
6960929-1111100-29,20191025,1
6960929-1111100-29,20191024,1
6960929-1111100-29,20191031,1
6960929-1111100-29,20191014,1
6960929-1111100-29,20191108,1
6960929-1111100-29,20191009,1
6960929-1111100-29,20191101,1
6960929-1111100-29,20191106,1
6960929-1111100-29,20191107,1
6960929-1111100-29,20191104,1
6960929-1111100-29,20191105,1
6960929-1111100-29,20191203,1
6960929-1111100-29,20191202,1
6960929-1111100-29,20191120,1
6960929-1111100-29,20191121,1
6960929-1111100-29,20191206,1
6960929-1111100-29,20200123,1
6960929-1111100-29,20191205,1
6960929-1111100-29,20200121,1
6960929-1111100-29,20200124,1
6960929-1111100-29,20191216,1
6960929-1111100-29,20190916,1
6960929-1111100-29,20191209,1
6960929-1111100-29,20190912,1
6960929-1111100-29,20190913,1
6960929-1111100-29,20190910,1
6960929-1111100-29,20190911,1
6960929-1111100-29,20191204,1
6960929-1111100-29,20191016,1
6960929-1111100-29,20190918,1
6960929-1111100-29,20190919,1
6960929-1111100-29,20191010,1
6960929-1111100-29,20191011,1
6960929-1111100-29,20191119,1
6960929-1111100-29,20191015,1
6960929-1111100-29,20191030,1
6960929-1111100-29,20190917,1
6960929-1111100-29,20191018,1
6960929-1111100-29,20191114,1
6960929-1111100-29,20191017,1
6960929-1111100-29,20191113,1
6960929-1111100-29,20191112,1
6960929-1111100-29,20191115,1
6960929-1111100-29,20200122,1
6960929-1111100-29,20191118,1
6960929-1111100-29,20200116,1
6960929-1111100-29,20200117,1
6960929-1111100-29,20200115,1
6960929-1111100-29,20191212,1
6960929-1111100-29,20191213,1
6960929-1111100-29,20191210,1
6960929-1111100-29,20191211,1
70180-0000001-0,20200308,1
70180-0000001-0,20200419,1
70180-0000001-0,20200329,1
70180-0000001-0,20200510,1
70180-0000001-0,20200426,1
70180-0000001-0,20200517,1
70180-0000001-0,20200503,1
70180-0000001-0,20200405,1
70180-0000001-0,20200524,1
70180-0000001-0,20200531,1
70180-0000001-0,20200301,1
70180-0000001-0,20200209,1
70180-0000001-0,20200315,1
70180-0000001-0,20200202,1
70180-0000001-0,20200216,1
70180-0000001-0,20200412,1
70180-0000001-0,20200223,1
70180-0000001-0,20200322,1
70180-0000001-0,20200126,1
70223-1111100-0,20191231,1
69610-0000010-0,20191207,1
69610-0000010-0,20191123,1
69610-0000010-0,20190907,1
69610-0000010-0,20190921,1
69610-0000010-0,20190928,1
69610-0000010-0,20191221,1
69610-0000010-0,20191026,1
69610-0000010-0,20191012,1
69610-0000010-0,20191109,1
69610-0000010-0,20191005,1
69610-0000010-0,20191102,1
69610-0000010-0,20191019,1
69610-0000010-0,20191116,1
69610-0000010-0,20190914,1
69610-0000010-0,20191228,1
69610-0000010-0,20200104,1
69610-0000010-0,20200118,1
69610-0000010-0,20191130,1
69610-0000010-0,20191214,1
69610-0000010-0,20200125,1
69610-0000010-0,20200111,1
69620-0000010-0,20191012,1
69620-0000010-0,20191109,1
69620-0000010-0,20191005,1
69620-0000010-0,20191102,1
69620-0000010-0,20191019,1
69620-0000010-0,20191116,1
69620-0000010-0,20190921,1
69620-0000010-0,20191221,1
69620-0000010-0,20191207,1
69620-0000010-0,20191130,1
69620-0000010-0,20191214,1
69620-0000010-0,20190928,1
69620-0000010-0,20191123,1
69620-0000010-0,20191026,1
69683-0000001-0,20190908,1
69683-0000001-0,20190901,1
69683-0000001-0,20191128,1
69683-0000001-0,20190902,1
69683-0000001-0,20200101,1
69683-0000001-0,20191229,1
69683-0000001-0,20190915,1
69683-0000001-0,20200105,1
69683-0000001-0,20200119,1
69683-0000001-0,20191222,1
69683-0000001-0,20200112,1
69681-1111100-0,20190909,1
69681-1111100-0,20190903,1
69681-1111100-0,20190911,1
69681-1111100-0,20190905,1
69681-1111100-0,20190904,1
69681-1111100-0,20190906,1
69681-1111100-0,20191223,1
69681-1111100-0,20190912,1
69681-1111100-0,20190913,1
69681-1111100-0,20190910,1
69681-1111100-0,20200108,1
69681-1111100-0,20191231,1
69681-1111100-0,20200114,1
69681-1111100-0,20200109,1
69681-1111100-0,20191224,1
69681-1111100-0,20200115,1
69681-1111100-0,20200116,1
69681-1111100-0,20191230,1
69681-1111100-0,20200113,1
69681-1111100-0,20200103,1
69681-1111100-0,20200102,1
69681-1111100-0,20200122,1
69681-1111100-0,20200107,1
69681-1111100-0,20200106,1
69681-1111100-0,20200123,1
69681-1111100-0,20200117,1
69681-1111100-0,20200121,1
69681-1111100-0,20200120,1
69681-1111100-0,20191226,1
69681-1111100-0,20200110,1
69681-1111100-0,20200124,1
70246-1111100-0,20191227,1
69707-0000001-0,20200101,1
69707-0000001-0,20191128,1
69707-0000001-0,20191225,1
69642-1111100-0,20191224,1
69613-0000001-0,20190908,1
69613-0000001-0,20191201,1
69613-0000001-0,20190901,1
69613-0000001-0,20200112,1
69613-0000001-0,20190922,1
69613-0000001-0,20190915,1
69613-0000001-0,20191222,1
69613-0000001-0,20191020,1
69613-0000001-0,20190929,1
69613-0000001-0,20191027,1
69613-0000001-0,20200101,1
69613-0000001-0,20191013,1
69613-0000001-0,20191006,1
69613-0000001-0,20191103,1
69613-0000001-0,20191117,1
69613-0000001-0,20191110,1
69613-0000001-0,20191124,1
69613-0000001-0,20191229,1
69613-0000001-0,20200105,1
69613-0000001-0,20200119,1
69613-0000001-0,20191208,1
69613-0000001-0,20191215,1
69613-0000001-0,20191128,1
69613-0000001-0,20191225,1
92118_merged_113132376,20200408,1
92118_merged_113132376,20200409,1
92118_merged_113132376,20200529,1
92118_merged_113132376,20200528,1
92118_merged_113132376,20200527,1
92118_merged_113132376,20200526,1
92118_merged_113132376,20200323,1
92118_merged_113132376,20200407,1
92118_merged_113132376,20200325,1
92118_merged_113132376,20200324,1
92118_merged_113132376,20200327,1
92118_merged_113132376,20200520,1
92118_merged_113132376,20200414,1
92118_merged_113132376,20200203,1
92118_merged_113132376,20200206,1
92118_merged_113132376,20200207,1
92118_merged_113132376,20200204,1
92118_merged_113132376,20200205,1
92118_merged_113132376,20200129,1
92118_merged_113132376,20200128,1
92118_merged_113132376,20200127,1
92118_merged_113132376,20200221,1
92118_merged_113132376,20200415,1
92118_merged_113132376,20200512,1
92118_merged_113132376,20200513,1
92118_merged_113132376,20200401,1
92118_merged_113132376,20200511,1
92118_merged_113132376,20200514,1
92118_merged_113132376,20200515,1
92118_merged_113132376,20200417,1
92118_merged_113132376,20200416,1
92118_merged_113132376,20200518,1
92118_merged_113132376,20200519,1
92118_merged_113132376,20200413,1
92118_merged_113132376,20200410,1
92118_merged_113132376,20200310,1
92118_merged_113132376,20200311,1
92118_merged_113132376,20200312,1
92118_merged_113132376,20200313,1
92118_merged_113132376,20200219,1
92118_merged_113132376,20200218,1
92118_merged_113132376,20200316,1
92118_merged_113132376,20200317,1
92118_merged_113132376,20200318,1
92118_merged_113132376,20200214,1
92118_merged_113132376,20200604,1
92118_merged_113132376,20200605,1
92118_merged_113132376,20200211,1
92118_merged_113132376,20200210,1
92118_merged_113132376,20200213,1
92118_merged_113132376,20200212,1
92118_merged_113132376,20200421,1
92118_merged_113132376,20200319,1
92118_merged_113132376,20200403,1
92118_merged_113132376,20200602,1
92118_merged_113132376,20200603,1
92118_merged_113132376,20200505,1
92118_merged_113132376,20200504,1
92118_merged_113132376,20200507,1
92118_merged_113132376,20200506,1
92118_merged_113132376,20200501,1
92118_merged_113132376,20200427,1
92118_merged_113132376,20200424,1
92118_merged_113132376,20200320,1
